id,word,meaning,user_id
1,excruciating,intensely painful.,1
2,excruciating,"very embarrassing, awkward, or tedious.",1
3,dawdle,waste time; be slow.,1
4,dawdle,move slowly and idly in a particular direction.,1
5,hone,sharpen (a blade).,1
6,hone,refine or perfect (something) over a period of time.,1
7,hone,"a whetstone, especially one used to sharpen razors.",1
8,reek,smell strongly and unpleasantly; stink.,1
9,reek,a foul smell.,1
10,brethren,fellow Christians or members of a male religious order.,1
11,brethren,people belonging to a particular group.,1
12,wager,used to express certainty.,1
13,wager,an act of betting a sum of money on the outcome of an unpredictable event.,1
14,weasel,"a small, slender carnivorous mammal related to, but smaller than, the stoat.",1
15,weasel,a deceitful or treacherous person.,1
16,snare,"a trap for catching birds or mammals, typically one having a noose of wire or cord.",1
17,placebo effect,when a person's physical or mental health appears to improve after taking a placebo or 'dummy' treatment.,1
18,holler,give a loud shout or cry.,1
19,jinx,noun a person or thing that brings bad luck. Verb： bring bad luck to; cast an evil spell on.,1
20,impending,adjective: (of an event regarded as threatening or significant) about to happen; forthcoming.,1
21,slink,"verb: move smoothly and quietly with gliding steps, in a stealthy or sensuous manner.",1
22,skirt,verb: go round or past the edge of.,1
23,skirt,verb: attempt to ignore; avoid dealing with.,1
24,gasp,"verb: catch one's breath with an open mouth, owing to pain or astonishment.",1
25,bigot,"noun: a person who is obstinately or unreasonably attached to a belief, opinion, or faction, especially one who is prejudiced against or antagonistic towards a person or people on the basis of their membership of a particular group.",1
26,antiphrasis,"the usually ironic or humorous use of words in senses opposite to the generally accepted meanings (as in ""this giant of 3 feet 4 inches"")",1
27,flummox,perplex (someone) greatly; bewilder. ,1
28,cacophony,a harsh discordant mixture of sounds.,1
29,cloze,"of, relating to, or being a test of reading comprehension that involves having the person being tested supply words which have been systematically deleted from a text",1
30,boiterous,"noisy, energetic, and cheerful.",1
31,boiterous,(of weather or water) wild or stormy.,1
32,foreboding,a feeling that something bad will happen; fearful apprehension.,1
33,nooks and crannies,small spaces in something or parts of something that are difficult to reach,1
34,rigor mortis,"stiffening of the joints and muscles of a body a few hours after death, usually lasting from one to four days.",1
35,outlandish,looking or sounding bizarre or unfamiliar. /foreign or alien.,1
36,fret,be constantly or visibly anxious.,1
37,fret,gradually wear away (something) by rubbing or gnawing.,1
38,plethora,a large or excessive amount of something.,1
39,plethora,"an excess of a bodily fluid, particularly blood.",1
40,tacky,"(of glue, paint, or other substances) not fully dry and retaining a slightly sticky feel.",1
41,slosh,(of liquid in a container) move irregularly with a splashing sound.,1
42,slosh,hit (someone) hard.,1
43,unfurl,"make or become spread out from a rolled or folded state, especially in order to be open to the wind.",1
44,pork barrel,used in reference to the utilization of government funds for projects designed to please voters or legislators and win votes.,1
45,turquoise,"a semi-precious stone, typically opaque and of a greenish-blue or sky-blue colour, consisting of a hydrated phosphate of copper and aluminium.",1
46,teem with,to be full of (life and activity) : to have many (people or animals) moving around inside,1
47,culminate,reach a climax or point of highest development.,1
48,pus,"a thick yellowish or greenish opaque liquid produced in infected tissue, consisting of dead white blood cells and bacteria with tissue debris and serum.",1
49,escarpment,"a long, steep slope, especially one at the edge of a plateau or separating areas of land at different heights.",1
50,periphery,the outer limits or edge of an area or object.,1
51,dorky,socially inept or awkward.,1
52,cusp,a point of transition between two different states.,1
53,accentuate,make more noticeable or prominent.,1
54,discern,distinguish (someone or something) with difficulty by sight or with the other senses,1
55,implode,collapse or cause to collapse violently inwards.,1
56,rhetoric,"the art of effective or persuasive speaking or writing, especially the exploitation of figures of speech and other compositional techniques.",1
57,fluke,"an unlikely chance occurrence, especially a surprising piece of luck.",1
58,heinous,"(of a person or wrongful act, especially a crime) utterly odious or wicked.",1
59,tapped out,"1 : out of money : broke. 2 : spent, exhausted",1
60,tap out,It's a tradition in some fighting/wrestling events that if someone decides to concede (give up) they literally tap their fingers on the mat to say they quit,1
61,dredge,an apparatus for bringing up objects or mud from a river or seabed by scooping or dragging.,1
62,dredge up,to start talking or thinking again about (something unpleasant that happened a long time ago) ,1
63,stave,a vertical wooden post or plank in a building or other structure.,1
64,stave off,avert or delay something bad or dangerous.,1
65,what for,"A scolding, rebuke, or punishment.",1
66,with a pinch of salt,"to not completely believe something that you are told, because you think it is unlikely to be true",1
67,transgression,"an act that goes against a law, rule, or code of conduct; an offence.",1
68,maul,(of an animal) wound (a person or animal) by scratching and tearing.,1
